"","Date","Name","Distance","Made","Block","H/A","SeasonPerc","Temp","Years Exp.","Average Dist."
"1","1/1/17","Roberto Aguayo\AguaRo00",46,"N","N","Home",0.71,"76",0,36.68
"2","1/1/17","Cairo Santos\SantCa01",37,"Y","N","Away",0.886,"56",2,35.63
"3","1/1/17","Josh Lambo\LambJo00",29,"Y","N","Home",0.813,"56",1,36.38
"4","1/1/17","Brandon McManus\McMaBr01",48,"N","N","Home",0.853,"48",2,37.88
"5","1/1/17","Greg Zuerlein\ZuerGr00",37,"Y","N","Home",0.864,"56",4,38.68
"6","1/1/17","Randy Bullock\BullRa00",24,"Y","N","Home",0.889,"38",6,32.67
"7","1/1/17","Dan Carpenter\CarpDa44",34,"Y","N","Away",0.76,"45",8,36.16
"8","1/1/17","Justin Tucker\TuckJu00",30,"Y","N","Away",0.974,"38",4,41.95
"9","1/1/17","Graham Gano\GanoGr44",54,"Y","N","Away",0.789,"76",7,40.61
"10","1/1/17","Stephen Gostkowski\GostSt20",26,"Y","N","Away",0.844,"80",10,37.16
"11","1/1/17","Connor Barth\barthco01",29,"Y","N","Away",0.783,"DOME",7,35.35
"12","1/1/17","Steven Hauschka\HausSt00",28,"Y","N","Away",0.892,"52",9,34.14
"13","1/1/17","Chandler Catanzaro\CataCh00",34,"Y","N","Away",0.75,"56",2,39.07
"14","1/1/17","Jason Myers\MyerJa00",41,"Y","N","Away",0.794,"DOME",1,42.82
"15","1/1/17","Dan Bailey\BailDa00",49,"Y","N","Away",0.844,"48",5,38.41
"16","1/1/17","Wil Lutz\LutzWi00",19,"Y","N","Away",0.824,"DOME",0,37.53
"17","1/1/17","Adam Vinatieri\vinatada01",45,"Y","N","Home",0.871,"DOME",20,43.16
"18","1/1/17","Nick Novak\novaknic01",45,"N","N","Away",0.854,"49",9,36.78
"19","1/1/17","Dustin Hopkins\HopkDu00",57,"N","N","Home",0.81,"52",2,36.9
"20","1/1/17","Steven Hauschka\HausSt00",31,"Y","N","Away",0.892,"52",9,34.14
"21","1/1/17","Caleb Sturgis\SturCa00",22,"Y","N","Home",0.854,"48",3,37.63
"22","1/1/17","Jason Myers\MyerJa00",47,"Y","N","Away",0.794,"DOME",1,42.82
"23","1/1/17","Nick Folk\FolkNi20",36,"Y","N","Home",0.871,"45",9,33.97
"24","1/1/17","Mason Crosby\CrosMa20",53,"Y","N","Away",0.867,"DOME",9,35.4
"25","1/1/17","Cody Parkey\ParkCo03",49,"N","N","Away",0.8,"38",3,37.6
"26","1/1/17","Roberto Aguayo\AguaRo00",33,"Y","N","Home",0.71,"76",0,36.68
"27","1/1/17","Cairo Santos\SantCa01",25,"Y","N","Away",0.886,"56",3,35.63
"28","1/1/17","Josh Lambo\LambJo00",35,"Y","N","Home",0.813,"56",1,36.38
"29","1/1/17","Brandon McManus\McMaBr01",22,"Y","N","Home",0.853,"48",3,37.88
"30","1/1/17","Matt Bryant\bryanmat01",22,"Y","N","Home",0.919,"DOME",15,37.3
"31","1/1/17","Randy Bullock\BullRa00",23,"Y","N","Home",0.889,"38",6,32.67
"32","1/1/17","Graham Gano\GanoGr44",58,"N","N","Away",0.789,"76",7,40.61
"33","1/1/17","Stephen Gostkowski\GostSt20",40,"Y","N","Away",0.844,"80",10,37.16
"34","1/1/17","Steven Hauschka\HausSt00",33,"Y","N","Away",0.892,"52",9,34.14
"35","1/1/17","Caleb Sturgis\SturCa00",33,"Y","N","Home",0.854,"48",3,37.63
"36","1/1/17","Robbie Gould\gouldrob01",40,"Y","N","Away",1,"52",11,36.3
"37","1/1/17","Chandler Catanzaro\CataCh00",32,"Y","N","Away",0.75,"38",2,39.07
"38","1/1/17","Kai Forbath\ForbKa00",21,"Y","N","Home",1,"DOME",5,34.33
"39","1/1/17","Matt Prater\PratMa20",54,"Y","N","Home",0.861,"DOME",10,40.17
"40","1/1/17","Jason Myers\MyerJa00",54,"N","N","Away",0.794,"DOME",1,42.82
"41","1/1/17","Roberto Aguayo\AguaRo00",48,"N","Y","Home",0.71,"76",0,36.68
"42","1/1/17","Adam Vinatieri\vinatada01",48,"N","N","Home",0.871,"DOME",20,43.16
"43","1/1/17","Greg Zuerlein\ZuerGr00",36,"Y","N","Home",0.864,"56",4,38.68
"44","1/1/17","Nick Folk\FolkNi20",30,"Y","N","Home",0.871,"45",9,33.97
"45","1/1/17","Cairo Santos\SantCa01",35,"Y","N","Away",0.886,"56",2,35.63
"46","1/1/17","Graham Gano\GanoGr44",36,"N","N","Away",0.789,"76",7,40.61
"47","1/1/17","Stephen Gostkowski\GostSt20",52,"N","N","Away",0.844,"80",10,37.16
"48","1/1/17","Chandler Catanzaro\CataCh00",47,"Y","N","Away",0.75,"56",2,39.07
"49","1/1/17","Dan Bailey\BailDa00",23,"Y","N","Away",0.844,"48",5,38.41
"50","1/1/17","Wil Lutz\LutzWi00",40,"Y","N","Away",0.824,"DOME",0,37.53
"51","1/1/17","Cody Parkey\ParkCo03",34,"Y","N","Away",0.8,"38",2,37.6
"52","1/1/17","Ryan Succop\SuccRy44",35,"Y","N","Home",0.917,"49",7,39.33
"53","1/1/17","Graham Gano\GanoGr44",45,"N","N","Away",0.789,"76",7,40.61
"54","1/1/17","Nick Novak\novaknic01",26,"Y","N","Away",0.854,"49",9,36.78
"55","1/1/17","Dustin Hopkins\HopkDu00",32,"Y","N","Home",0.81,"52",2,36.9
"56","1/1/17","Steven Hauschka\HausSt00",32,"Y","N","Away",0.892,"52",9,34.14
"57","1/1/17","Caleb Sturgis\SturCa00",49,"N","N","Home",0.854,"48",3,37.63
"58","1/1/17","Robbie Gould\gouldrob01",22,"Y","N","Away",1,"52",11,36.3
"59","1/1/17","Matt Prater\PratMa20",39,"N","N","Home",0.861,"DOME",10,40.17
"60","1/1/17","Jason Myers\MyerJa00",30,"N","N","Away",0.794,"DOME",1,42.82
"61","1/1/17","Nick Folk\FolkNi20",25,"Y","N","Home",0.871,"45",9,33.97
"62","12/26/16","Matt Prater\PratMa20",47,"N","N","Away",0.861,"",10,40.17
"63","12/25/16","Chris Boswell\BoswCh00",36,"Y","N","Home",0.84,"",1,40.64
"64","12/25/16","Cairo Santos\SantCa01",39,"Y","N","Home",0.886,"",2,35.63
"65","12/25/16","Justin Tucker\TuckJu00",38,"Y","N","Away",0.974,"",4,41.95
"66","12/25/16","Justin Tucker\TuckJu00",23,"Y","N","Away",0.974,"",4,41.95
"67","12/25/16","Cairo Santos\SantCa01",27,"Y","N","Home",0.886,"",2,35.63
"68","12/25/16","Justin Tucker\TuckJu00",41,"Y","N","Away",0.974,"",4,41.95
"69","12/25/16","Brandon McManus\McMaBr01",52,"Y","N","Away",0.853,"",2,37.88
"70","12/25/16","Justin Tucker\TuckJu00",46,"Y","N","Away",0.974,"",4,41.95
"71","12/25/16","Cairo Santos\SantCa01",39,"N","N","Home",0.886,"",2,35.63
"72","12/24/16","Graham Gano\GanoGr44",31,"Y","N","Home",0.789,"",7,40.61
"73","12/24/16","Adam Vinatieri\vinatada01",42,"Y","N","Away",0.871,"",20,43.16
"74","12/24/16","Nick Novak\novaknic01",25,"Y","N","Home",0.854,"",9,36.78
"75","12/24/16","Dustin Hopkins\HopkDu00",29,"Y","N","Away",0.81,"",2,36.9
"76","12/24/16","Steven Hauschka\HausSt00",45,"N","Y","Home",0.892,"",9,34.14
"77","12/24/16","Jason Myers\MyerJa00",56,"Y","N","Home",0.794,"",1,42.82
"78","12/24/16","Nick Folk\FolkNi20",29,"Y","N","Away",0.871,"",9,33.97
"79","12/24/16","Cody Parkey\ParkCo03",49,"Y","N","Home",0.8,"",2,37.6
"80","12/24/16","Josh Lambo\LambJo00",32,"N","Y","Away",0.813,"",1,36.38
"81","12/24/16","Andrew Franks\FranAn01",27,"Y","N","Away",0.762,"",1,32.86
"82","12/24/16","Matt Bryant\bryanmat01",29,"Y","N","Away",0.919,"",15,37.3
"83","12/24/16","Randy Bullock\BullRa00",43,"Y","N","Away",0.889,"",6,32.67
"84","12/24/16","Dan Carpenter\CarpDa44",46,"N","N","Home",0.76,"",8,36.16
"85","12/24/16","Ryan Succop\SuccRy44",42,"Y","N","Away",0.917,"",7,39.33
"86","12/24/16","Graham Gano\GanoGr44",31,"Y","N","Home",0.789,"",7,40.61
"87","12/24/16","Stephen Gostkowski\GostSt20",29,"Y","N","Home",0.844,"",10,37.16
"88","12/24/16","Matt Bryant\bryanmat01",51,"Y","N","Away",0.919,"",15,37.3
"89","12/24/16","Chandler Catanzaro\CataCh00",42,"Y","N","Away",0.75,"",2,39.07
"90","12/24/16","Kai Forbath\ForbKa00",22,"Y","N","Away",1,"",5,34.33
"91","12/24/16","Wil Lutz\LutzWi00",42,"Y","N","Home",0.824,"",0,37.53
"92","12/24/16","Jason Myers\MyerJa00",48,"Y","N","Home",0.794,"",1,42.82
"93","12/24/16","Dan Carpenter\CarpDa44",45,"N","N","Home",0.76,"",8,36.16
"94","12/24/16","Nick Folk\FolkNi20",34,"N","N","Away",0.871,"",9,33.97
"95","12/24/16","Josh Lambo\LambJo00",43,"Y","N","Away",0.813,"",1,36.38
"96","12/24/16","Andrew Franks\FranAn01",55,"Y","N","Away",0.762,"",1,32.86
"97","12/24/16","Connor Barth\barthco01",22,"N","Y","Home",0.783,"",7,35.35
"98","12/24/16","Matt Bryant\bryanmat01",30,"N","Y","Away",0.919,"",15,37.3
"99","12/24/16","Wil Lutz\LutzWi00",21,"Y","N","Home",0.824,"",0,37.53
"100","12/24/16","Graham Gano\GanoGr44",40,"Y","N","Home",0.789,"",7,40.61
"101","12/24/16","Nick Novak\novaknic01",22,"Y","N","Home",0.854,"",9,36.78
"102","12/24/16","Dustin Hopkins\HopkDu00",20,"Y","N","Away",0.81,"",2,36.9
"103","12/24/16","Steven Hauschka\HausSt00",27,"Y","N","Home",0.892,"",9,34.14
"104","12/24/16","Chandler Catanzaro\CataCh00",53,"N","N","Away",0.75,"",2,39.07
"105","12/24/16","Jason Myers\MyerJa00",50,"Y","N","Home",0.794,"",1,42.82
"106","12/24/16","Mason Crosby\CrosMa20",48,"Y","N","Home",0.867,"",9,35.4
"107","12/24/16","Cody Parkey\ParkCo03",27,"Y","N","Home",0.8,"",2,37.6
"108","12/24/16","Josh Lambo\LambJo00",45,"N","N","Away",0.813,"",1,36.38
"109","12/24/16","Matt Bryant\bryanmat01",50,"Y","N","Away",0.919,"",15,37.3
"110","12/24/16","Jason Myers\MyerJa00",29,"Y","N","Home",0.794,"",1,42.82
"111","12/24/16","Randy Bullock\BullRa00",43,"N","N","Away",0.889,"",6,32.67
"112","12/24/16","Dan Carpenter\CarpDa44",28,"Y","N","Home",0.76,"",8,36.16
"113","12/24/16","Roberto Aguayo\AguaRo00",35,"Y","N","Away",0.71,"",0,36.68
"114","12/24/16","Stephen Gostkowski\GostSt20",22,"Y","N","Home",0.844,"",10,37.16
"115","12/24/16","Andrew Franks\FranAn01",46,"N","N","Away",0.762,"",1,32.86
"116","12/24/16","Matt Bryant\bryanmat01",48,"Y","N","Away",0.919,"",15,37.3
"117","12/24/16","Chandler Catanzaro\CataCh00",43,"Y","N","Away",0.75,"",2,39.07
"118","12/24/16","Kai Forbath\ForbKa00",26,"Y","N","Away",1,"",5,34.33
"119","12/24/16","Wil Lutz\LutzWi00",34,"Y","N","Home",0.824,"",0,37.53
"120","12/22/16","Robbie Gould\gouldrob01",35,"Y","N","Away",1,"",11,36.3
"121","12/22/16","Robbie Gould\gouldrob01",41,"Y","N","Away",1,"",11,36.3
"122","12/22/16","Robbie Gould\gouldrob01",35,"Y","N","Away",1,"",11,36.3
"123","12/22/16","Caleb Sturgis\SturCa00",41,"Y","N","Home",0.854,"",3,37.63
"124","12/22/16","Robbie Gould\gouldrob01",29,"Y","N","Away",1,"",11,36.3
"125","12/19/16","Graham Gano\GanoGr44",23,"Y","N","Away",0.789,"",7,40.61
"126","12/19/16","Dustin Hopkins\HopkDu00",43,"Y","N","Home",0.81,"",2,36.9
"127","12/19/16","Graham Gano\GanoGr44",41,"Y","N","Away",0.789,"",7,40.61
"128","12/19/16","Dustin Hopkins\HopkDu00",34,"Y","N","Home",0.81,"",2,36.9
"129","12/19/16","Graham Gano\GanoGr44",23,"Y","N","Away",0.789,"",7,40.61
"130","12/19/16","Graham Gano\GanoGr44",38,"N","N","Away",0.789,"",7,40.61
