"","X.1","X","Date","Name","Distance","Made","Block","H.A","SeasonPerc","Temp","Years.Exp.","Average.Dist.","Career.Avg.","newcol"
"1",1,1,"1/1/17","Roberto Aguayo\AguaRo00",46,"N","N","Home",0.71,76,0,36.68,0.713,"NOT DOME"
"2",2,2,"1/1/17","Cairo Santos\SantCa01",37,"Y","N","Away",0.886,56,2,35.63,0.843,"NOT DOME"
"3",3,3,"1/1/17","Josh Lambo\LambJo00",29,"Y","N","Home",0.813,56,1,36.38,0.813,"NOT DOME"
"4",4,4,"1/1/17","Brandon McManus\McMaBr01",48,"N","N","Home",0.853,48,2,37.88,0.821,"NOT DOME"
"5",5,5,"1/1/17","Greg Zuerlein\ZuerGr00",37,"Y","N","Home",0.864,56,4,38.68,0.799,"NOT DOME"
"6",6,6,"1/1/17","Randy Bullock\BullRa00",24,"Y","N","Home",0.889,38,6,32.67,0.814,"NOT DOME"
"7",7,7,"1/1/17","Dan Carpenter\CarpDa44",34,"Y","N","Away",0.76,45,8,36.16,0.84,"NOT DOME"
"8",8,8,"1/1/17","Justin Tucker\TuckJu00",30,"Y","N","Away",0.974,38,4,41.95,0.899,"NOT DOME"
"9",9,9,"1/1/17","Graham Gano\GanoGr44",54,"Y","N","Away",0.789,76,7,40.61,0.8,"NOT DOME"
"10",10,10,"1/1/17","Stephen Gostkowski\GostSt20",26,"Y","N","Away",0.844,80,10,37.16,0.871,"NOT DOME"
"11",11,11,"1/1/17","Connor Barth\barthco01",29,"Y","N","Away",0.783,65,7,35.35,0.84,"DOME"
"12",12,12,"1/1/17","Steven Hauschka\HausSt00",28,"Y","N","Away",0.892,52,9,34.14,0.868,"NOT DOME"
"13",13,13,"1/1/17","Chandler Catanzaro\CataCh00",34,"Y","N","Away",0.75,56,2,39.07,0.851,"NOT DOME"
"14",14,14,"1/1/17","Jason Myers\MyerJa00",41,"Y","N","Away",0.794,65,1,42.82,0.824,"DOME"
"15",15,15,"1/1/17","Dan Bailey\BailDa00",49,"Y","N","Away",0.844,48,5,38.41,0.897,"NOT DOME"
"16",16,16,"1/1/17","Wil Lutz\LutzWi00",19,"Y","N","Away",0.824,65,0,37.53,0.842,"DOME"
"17",17,17,"1/1/17","Adam Vinatieri\vinatada01",45,"Y","N","Home",0.871,65,20,43.16,0.842,"DOME"
"18",18,18,"1/1/17","Nick Novak\novaknic01",45,"N","N","Away",0.854,49,9,36.78,0.828,"NOT DOME"
"19",19,19,"1/1/17","Dustin Hopkins\HopkDu00",57,"N","N","Home",0.81,52,2,36.9,0.845,"NOT DOME"
"20",20,20,"1/1/17","Steven Hauschka\HausSt00",31,"Y","N","Away",0.892,52,9,34.14,0.868,"NOT DOME"
"21",21,21,"1/1/17","Caleb Sturgis\SturCa00",22,"Y","N","Home",0.854,48,3,37.63,0.81,"NOT DOME"
"22",22,22,"1/1/17","Jason Myers\MyerJa00",47,"Y","N","Away",0.794,65,1,42.82,0.824,"DOME"
"23",23,23,"1/1/17","Nick Folk\FolkNi20",36,"Y","N","Home",0.871,45,9,33.97,0.813,"NOT DOME"
"24",24,24,"1/1/17","Mason Crosby\CrosMa20",53,"Y","N","Away",0.867,65,9,35.4,0.804,"DOME"
"25",25,25,"1/1/17","Cody Parkey\ParkCo03",49,"N","N","Away",0.8,38,3,37.6,0.846,"NOT DOME"
"26",26,26,"1/1/17","Roberto Aguayo\AguaRo00",33,"Y","N","Home",0.71,76,0,36.68,0.713,"NOT DOME"
"27",27,27,"1/1/17","Cairo Santos\SantCa01",25,"Y","N","Away",0.886,56,3,35.63,0.843,"NOT DOME"
"28",28,28,"1/1/17","Josh Lambo\LambJo00",35,"Y","N","Home",0.813,56,1,36.38,0.813,"NOT DOME"
"29",29,29,"1/1/17","Brandon McManus\McMaBr01",22,"Y","N","Home",0.853,48,3,37.88,0.821,"NOT DOME"
"30",30,30,"1/1/17","Matt Bryant\bryanmat01",22,"Y","N","Home",0.919,65,15,37.3,0.858,"DOME"
"31",31,31,"1/1/17","Randy Bullock\BullRa00",23,"Y","N","Home",0.889,38,6,32.67,0.814,"NOT DOME"
"32",32,32,"1/1/17","Graham Gano\GanoGr44",58,"N","N","Away",0.789,76,7,40.61,0.8,"NOT DOME"
"33",33,33,"1/1/17","Stephen Gostkowski\GostSt20",40,"Y","N","Away",0.844,80,10,37.16,0.871,"NOT DOME"
"34",34,34,"1/1/17","Steven Hauschka\HausSt00",33,"Y","N","Away",0.892,52,9,34.14,0.868,"NOT DOME"
"35",35,35,"1/1/17","Caleb Sturgis\SturCa00",33,"Y","N","Home",0.854,48,3,37.63,0.81,"NOT DOME"
"36",36,36,"1/1/17","Robbie Gould\gouldrob01",40,"Y","N","Away",1,52,11,36.3,0.859,"NOT DOME"
"37",37,37,"1/1/17","Chandler Catanzaro\CataCh00",32,"Y","N","Away",0.75,38,2,39.07,0.851,"NOT DOME"
"38",38,38,"1/1/17","Kai Forbath\ForbKa00",21,"Y","N","Home",1,65,5,34.33,0.87,"DOME"
"39",39,39,"1/1/17","Matt Prater\PratMa20",54,"Y","N","Home",0.861,65,10,40.17,0.831,"DOME"
"40",40,40,"1/1/17","Jason Myers\MyerJa00",54,"N","N","Away",0.794,65,1,42.82,0.824,"DOME"
"41",41,41,"1/1/17","Roberto Aguayo\AguaRo00",48,"N","Y","Home",0.71,76,0,36.68,0.713,"NOT DOME"
"42",42,42,"1/1/17","Adam Vinatieri\vinatada01",48,"N","N","Home",0.871,65,20,43.16,0.842,"DOME"
"43",43,43,"1/1/17","Greg Zuerlein\ZuerGr00",36,"Y","N","Home",0.864,56,4,38.68,0.799,"NOT DOME"
"44",44,44,"1/1/17","Nick Folk\FolkNi20",30,"Y","N","Home",0.871,45,9,33.97,0.813,"NOT DOME"
"45",45,45,"1/1/17","Cairo Santos\SantCa01",35,"Y","N","Away",0.886,56,2,35.63,0.843,"NOT DOME"
"46",46,46,"1/1/17","Graham Gano\GanoGr44",36,"N","N","Away",0.789,76,7,40.61,0.8,"NOT DOME"
"47",47,47,"1/1/17","Stephen Gostkowski\GostSt20",52,"N","N","Away",0.844,80,10,37.16,0.871,"NOT DOME"
"48",48,48,"1/1/17","Chandler Catanzaro\CataCh00",47,"Y","N","Away",0.75,56,2,39.07,0.851,"NOT DOME"
"49",49,49,"1/1/17","Dan Bailey\BailDa00",23,"Y","N","Away",0.844,48,5,38.41,0.897,"NOT DOME"
"50",50,50,"1/1/17","Wil Lutz\LutzWi00",40,"Y","N","Away",0.824,65,0,37.53,0.842,"DOME"
"51",51,51,"1/1/17","Cody Parkey\ParkCo03",34,"Y","N","Away",0.8,38,2,37.6,0.846,"NOT DOME"
"52",52,52,"1/1/17","Ryan Succop\SuccRy44",35,"Y","N","Home",0.917,49,7,39.33,0.831,"NOT DOME"
"53",53,53,"1/1/17","Graham Gano\GanoGr44",45,"N","N","Away",0.789,76,7,40.61,0.8,"NOT DOME"
"54",54,54,"1/1/17","Nick Novak\novaknic01",26,"Y","N","Away",0.854,49,9,36.78,0.828,"NOT DOME"
"55",55,55,"1/1/17","Dustin Hopkins\HopkDu00",32,"Y","N","Home",0.81,52,2,36.9,0.845,"NOT DOME"
"56",56,56,"1/1/17","Steven Hauschka\HausSt00",32,"Y","N","Away",0.892,52,9,34.14,0.868,"NOT DOME"
"57",57,57,"1/1/17","Caleb Sturgis\SturCa00",49,"N","N","Home",0.854,48,3,37.63,0.81,"NOT DOME"
"58",58,58,"1/1/17","Robbie Gould\gouldrob01",22,"Y","N","Away",1,52,11,36.3,0.859,"NOT DOME"
"59",59,59,"1/1/17","Matt Prater\PratMa20",39,"N","N","Home",0.861,65,10,40.17,0.831,"DOME"
"60",60,60,"1/1/17","Jason Myers\MyerJa00",30,"N","N","Away",0.794,65,1,42.82,0.824,"DOME"
"61",61,61,"1/1/17","Nick Folk\FolkNi20",25,"Y","N","Home",0.871,45,9,33.97,0.813,"NOT DOME"
"62",62,62,"12/26/16","Matt Prater\PratMa20",47,"N","N","Away",0.861,39,10,40.17,0.831,"NOT DOME"
"63",63,63,"12/25/16","Chris Boswell\BoswCh00",36,"Y","N","Home",0.84,39,1,40.64,0.877,"NOT DOME"
"64",64,64,"12/25/16","Cairo Santos\SantCa01",39,"Y","N","Home",0.886,39,2,35.63,0.843,"NOT DOME"
"65",65,65,"12/25/16","Justin Tucker\TuckJu00",38,"Y","N","Away",0.974,52,4,41.95,0.899,"NOT DOME"
"66",66,66,"12/25/16","Justin Tucker\TuckJu00",23,"Y","N","Away",0.974,52,4,41.95,0.899,"NOT DOME"
"67",67,67,"12/25/16","Cairo Santos\SantCa01",27,"Y","N","Home",0.886,52,2,35.63,0.843,"NOT DOME"
"68",68,68,"12/25/16","Justin Tucker\TuckJu00",41,"Y","N","Away",0.974,52,4,41.95,0.899,"NOT DOME"
"69",69,69,"12/25/16","Brandon McManus\McMaBr01",52,"Y","N","Away",0.853,52,2,37.88,0.821,"NOT DOME"
"70",70,70,"12/25/16","Justin Tucker\TuckJu00",46,"Y","N","Away",0.974,39,4,41.95,0.899,"NOT DOME"
"71",71,71,"12/25/16","Cairo Santos\SantCa01",39,"N","N","Home",0.886,39,2,35.63,0.843,"NOT DOME"
"72",72,72,"12/24/16","Graham Gano\GanoGr44",31,"Y","N","Home",0.789,39,7,40.61,0.8,"NOT DOME"
