Rk,Date,Tm,,Opp,Result,,Dist,Good?,Blk?
1,2017-01-01,TAM,,CAR,W 17-16,Roberto Aguayo\AguaRo00,46,N,N
2,2017-01-01,KAN,@,SDG,W 37-27,Cairo Santos\SantCa01,37,Y,N
3,2017-01-01,SDG,,KAN,L 27-37,Josh Lambo\LambJo00,29,Y,N
4,2017-01-01,DEN,,OAK,W 24-6,Brandon McManus\McMaBr01,48,N,N
5,2017-01-01,LAR,,ARI,L 6-44,Greg Zuerlein\ZuerGr00,37,Y,N
6,2017-01-01,CIN,,BAL,W 27-10,Randy Bullock\BullRa00,24,Y,N
7,2017-01-01,BUF,@,NYJ,L 10-30,Dan Carpenter\CarpDa44,34,Y,N
8,2017-01-01,BAL,@,CIN,L 10-27,Justin Tucker\TuckJu00,30,Y,N
9,2017-01-01,CAR,@,TAM,L 16-17,Graham Gano\GanoGr44,54,Y,N
10,2017-01-01,NWE,@,MIA,W 35-14,Stephen Gostkowski\GostSt20,26,Y,N
11,2017-01-01,CHI,@,MIN,L 10-38,Connor Barth\barthco01,29,Y,N
12,2017-01-01,SEA,@,SFO,W 25-23,Steven Hauschka\HausSt00,28,Y,N
13,2017-01-01,ARI,@,LAR,W 44-6,Chandler Catanzaro\CataCh00,34,Y,N
14,2017-01-01,JAX,@,IND,L 20-24,Jason Myers\MyerJa00,41,Y,N
15,2017-01-01,DAL,@,PHI,L 13-27,Dan Bailey\BailDa00,49,Y,N
16,2017-01-01,NOR,@,ATL,L 32-38,Wil Lutz\LutzWi00,19,Y,N
17,2017-01-01,IND,,JAX,W 24-20,Adam Vinatieri\vinatada01,45,Y,N
18,2017-01-01,HOU,@,TEN,L 17-24,Nick Novak\novaknic01,45,N,N
19,2017-01-01,WAS,,NYG,L 10-19,Dustin Hopkins\HopkDu00,57,N,N
20,2017-01-01,SEA,@,SFO,W 25-23,Steven Hauschka\HausSt00,31,Y,N
21,2017-01-01,PHI,,DAL,W 27-13,Caleb Sturgis\SturCa00,22,Y,N
22,2017-01-01,JAX,@,IND,L 20-24,Jason Myers\MyerJa00,47,Y,N
23,2017-01-01,NYJ,,BUF,W 30-10,Nick Folk\FolkNi20,36,Y,N
