"","Month","Date","Team","HomeAway","Opponent","Score","Name","Distance","Made","Location","Dome","SeasonAvg","YearsExp","AverageDist","CareerAvg"
"1",4,"2017-01-01","HOU","Away","TEN","L 17-24","Nick Novak\novaknic01",26,"Y","TEN","Not Dome",0.854,9,36.78,0.828
"2",4,"2017-01-01","WAS","Home","NYG","L 10-19","Dustin Hopkins\HopkDu00",32,"Y","WAS","Not Dome",0.81,2,36.9,0.845
"3",4,"2017-01-01","SEA","Away","SFO","W 25-23","Steven Hauschka\HausSt00",32,"Y","SFO","Not Dome",0.892,9,34.14,0.868
"4",4,"2017-01-01","PHI","Home","DAL","W 27-13","Caleb Sturgis\SturCa00",49,"N","PHI","Not Dome",0.854,3,37.63,0.81
"5",4,"2017-01-01","DET","Home","GNB","L 24-31","Matt Prater\PratMa20",39,"N","DET","Dome",0.861,10,40.17,0.831
"6",4,"2017-01-01","JAX","Away","IND","L 20-24","Jason Myers\MyerJa00",30,"N","IND","Dome",0.794,1,42.82,0.824
"7",4,"2017-01-01","NYJ","Home","BUF","W 30-10","Nick Folk\FolkNi20",25,"Y","NYJ","Not Dome",0.871,9,33.97,0.813
"8",4,"2017-01-01","CLE","Away","PIT","L 24-27","Cody Parkey\ParkCo03",34,"Y","PIT","Not Dome",0.8,2,37.6,0.846
"9",4,"2017-01-01","TEN","Home","HOU","W 24-17","Ryan Succop\SuccRy44",35,"Y","TEN","Not Dome",0.917,7,39.33,0.831
"10",4,"2017-01-01","CAR","Away","TAM","L 16-17","Graham Gano\GanoGr44",45,"N","TAM","Not Dome",0.789,7,40.61,0.8
"11",4,"2017-01-01","DEN","Home","OAK","W 24-6","Brandon McManus\McMaBr01",48,"N","DEN","Not Dome",0.853,2,37.88,0.821
"12",4,"2017-01-01","LAR","Home","ARI","L 6-44","Greg Zuerlein\ZuerGr00",37,"Y","LAR","Not Dome",0.864,4,38.68,0.799
"13",4,"2017-01-01","BUF","Away","NYJ","L 10-30","Dan Carpenter\CarpDa44",34,"Y","NYJ","Not Dome",0.76,8,36.16,0.84
"14",4,"2017-01-01","BAL","Away","CIN","L 10-27","Justin Tucker\TuckJu00",30,"Y","CIN","Not Dome",0.974,4,41.95,0.899
"15",4,"2017-01-01","TAM","Home","CAR","W 17-16","Roberto Aguayo\AguaRo00",46,"N","TAM","Not Dome",0.71,0,36.68,0.713
"16",4,"2017-01-01","KAN","Away","SDG","W 37-27","Cairo Santos\SantCa01",37,"Y","SDG","Not Dome",0.886,2,35.63,0.843
"17",4,"2017-01-01","SDG","Home","KAN","L 27-37","Josh Lambo\LambJo00",29,"Y","SDG","Not Dome",0.813,1,36.38,0.813
"18",4,"2017-01-01","CAR","Away","TAM","L 16-17","Graham Gano\GanoGr44",54,"Y","TAM","Not Dome",0.789,7,40.61,0.8
"19",4,"2017-01-01","NWE","Away","MIA","W 35-14","Stephen Gostkowski\GostSt20",26,"Y","MIA","Not Dome",0.844,10,37.16,0.871
"20",4,"2017-01-01","CHI","Away","MIN","L 10-38","Connor Barth\barthco01",29,"Y","MIN","Dome",0.783,7,35.35,0.84
"21",4,"2017-01-01","SEA","Away","SFO","W 25-23","Steven Hauschka\HausSt00",28,"Y","SFO","Not Dome",0.892,9,34.14,0.868
"22",4,"2017-01-01","ARI","Away","LAR","W 44-6","Chandler Catanzaro\CataCh00",34,"Y","LAR","Not Dome",0.75,2,39.07,0.851
"23",4,"2017-01-01","JAX","Away","IND","L 20-24","Jason Myers\MyerJa00",41,"Y","IND","Dome",0.794,1,42.82,0.824
"24",4,"2017-01-01","DAL","Away","PHI","L 13-27","Dan Bailey\BailDa00",49,"Y","PHI","Not Dome",0.844,5,38.41,0.897
"25",4,"2017-01-01","NOR","Away","ATL","L 32-38","Wil Lutz\LutzWi00",19,"Y","ATL","Dome",0.824,0,37.53,0.842
