"","Rk","Date","Tm","X","Opp","Result","X.1","Dist","Good.","Blk."
"1",1,2017-10-30,"KAN",NA,"DEN","W 29-19","Harrison Butker\ButkHa00",51,"Y","N"
"2",2,2017-10-30,"KAN",NA,"DEN","W 29-19","Harrison Butker\ButkHa00",25,"Y","N"
"3",3,2017-10-30,"DEN","@","KAN","L 19-29","Brandon McManus\McMaBr01",27,"Y","N"
"4",4,2017-10-30,"KAN",NA,"DEN","W 29-19","Harrison Butker\ButkHa00",43,"Y","N"
"5",5,2017-10-30,"KAN",NA,"DEN","W 29-19","Harrison Butker\ButkHa00",42,"Y","N"
"6",6,2017-10-30,"KAN",NA,"DEN","W 29-19","Harrison Butker\ButkHa00",32,"Y","N"
"7",7,2017-10-30,"DEN","@","KAN","L 19-29","Brandon McManus\McMaBr01",34,"Y","N"
"8",8,2017-10-29,"ATL","@","NYJ","W 25-20","Matt Bryant\bryanmat01",29,"Y","N"
"9",9,2017-10-29,"WAS",NA,"DAL","L 19-33","Nick Rose\RoseNi00",36,"N","Y"
"10",10,2017-10-29,"MIN","@","CLE","W 33-16","Kai Forbath\ForbKa00",51,"Y","N"
"11",11,2017-10-29,"SEA",NA,"HOU","W 41-38","Blair Walsh\WalsBl00",21,"Y","N"
"12",12,2017-10-29,"PHI",NA,"SFO","W 33-10","Jake Elliott\ElliJa03",51,"Y","N"
"13",13,2017-10-29,"CIN",NA,"IND","W 24-23","Randy Bullock\BullRa00",29,"Y","N"
"14",14,2017-10-29,"NWE",NA,"LAC","W 21-13","Stephen Gostkowski\GostSt20",43,"N","N"
"15",15,2017-10-29,"ATL","@","NYJ","W 25-20","Matt Bryant\bryanmat01",23,"Y","N"
"16",16,2017-10-29,"DAL","@","WAS","W 33-19","Mike Nugent\nugenmik01",48,"Y","N"
"17",17,2017-10-29,"MIN","@","CLE","W 33-16","Kai Forbath\ForbKa00",35,"Y","N"
"18",18,2017-10-29,"DET",NA,"PIT","L 15-20","Matt Prater\PratMa20",51,"Y","N"
"19",19,2017-10-29,"CHI","@","NOR","L 12-20","Connor Barth\barthco01",27,"Y","N"
"20",20,2017-10-29,"NWE",NA,"LAC","W 21-13","Stephen Gostkowski\GostSt20",36,"Y","N"
"21",21,2017-10-29,"IND","@","CIN","L 23-24","Adam Vinatieri\vinatada01",29,"Y","N"
"22",22,2017-10-29,"NYJ",NA,"ATL","L 20-25","Chandler Catanzaro\CataCh00",43,"Y","N"
"23",23,2017-10-29,"BUF",NA,"OAK","W 34-14","Steven Hauschka\HausSt00",44,"Y","N"
"24",24,2017-10-29,"NOR",NA,"CHI","W 20-12","Wil Lutz\LutzWi00",49,"Y","N"
"25",25,2017-10-29,"HOU","@","SEA","L 38-41","Ka'imi Fairbairn\FairKa01",31,"Y","N"
"26",26,2017-10-29,"SFO","@","PHI","L 10-33","Robbie Gould\gouldrob01",27,"N","Y"
"27",27,2017-10-29,"ATL","@","NYJ","W 25-20","Matt Bryant\bryanmat01",37,"Y","N"
"28",28,2017-10-29,"WAS",NA,"DAL","L 19-33","Nick Rose\RoseNi00",42,"Y","N"
"29",29,2017-10-29,"DAL","@","WAS","W 33-19","Mike Nugent\nugenmik01",37,"Y","N"
"30",30,2017-10-29,"MIN","@","CLE","W 33-16","Kai Forbath\ForbKa00",43,"Y","N"
"31",31,2017-10-29,"DET",NA,"PIT","L 15-20","Matt Prater\PratMa20",19,"Y","N"
"32",32,2017-10-29,"CHI","@","NOR","L 12-20","Connor Barth\barthco01",44,"Y","N"
"33",33,2017-10-29,"SEA",NA,"HOU","W 41-38","Blair Walsh\WalsBl00",21,"Y","N"
"34",34,2017-10-29,"PHI",NA,"SFO","W 33-10","Jake Elliott\ElliJa03",40,"Y","N"
"35",35,2017-10-29,"NWE",NA,"LAC","W 21-13","Stephen Gostkowski\GostSt20",43,"Y","N"
"36",36,2017-10-29,"IND","@","CIN","L 23-24","Adam Vinatieri\vinatada01",29,"Y","N"
"37",37,2017-10-29,"NYJ",NA,"ATL","L 20-25","Chandler Catanzaro\CataCh00",46,"Y","N"
"38",38,2017-10-29,"DAL","@","WAS","W 33-19","Mike Nugent\nugenmik01",36,"Y","N"
"39",39,2017-10-29,"CAR","@","TAM","W 17-3","Graham Gano\GanoGr44",28,"Y","N"
"40",40,2017-10-29,"DET",NA,"PIT","L 15-20","Matt Prater\PratMa20",37,"Y","N"
