"","ID","H/A","Name","FG Dist.","Good","Blk.","Avg. Dist.","Sea. Avg."
"1",1,"","Roberto Aguayo\AguaRo00",46,"N","N",36.68,"71.0%"
"2",2,"@","Cairo Santos\SantCa01",37,"Y","N",35.63,"88.6%"
"3",3,"","Josh Lambo\LambJo00",29,"Y","N",36.38,"81.3%"
"4",4,"","Brandon McManus\McMaBr01",48,"N","N",37.88,"85.3%"
"5",5,"","Greg Zuerlein\ZuerGr00",37,"Y","N",38.68,"86.4%"
"6",6,"","Randy Bullock\BullRa00",24,"Y","N",32.67,"88.9%"
"7",7,"@","Dan Carpenter\CarpDa44",34,"Y","N",36.16,"76.0%"
"8",8,"@","Justin Tucker\TuckJu00",30,"Y","N",41.95,"97.4%"
"9",9,"@","Graham Gano\GanoGr44",54,"Y","N",40.61,"78.9%"
"10",10,"@","Stephen Gostkowski\GostSt20",26,"Y","N",37.16,"84.4%"
"11",11,"@","Connor Barth\barthco01",29,"Y","N",35.35,"78.3%"
"12",12,"@","Steven Hauschka\HausSt00",28,"Y","N",34.14,"89.2%"
"13",13,"@","Chandler Catanzaro\CataCh00",34,"Y","N",39.07,"75.0%"
"14",14,"@","Jason Myers\MyerJa00",41,"Y","N",42.82,"79.4%"
"15",15,"@","Dan Bailey\BailDa00",49,"Y","N",38.41,"84.4%"
"16",16,"@","Wil Lutz\LutzWi00",19,"Y","N",37.53,"82.4%"
"17",17,"","Adam Vinatieri\vinatada01",45,"Y","N",43.16,"87.1%"
"18",18,"@","Nick Novak\novaknic01",45,"N","N",36.78,"85.4%"
"19",19,"","Dustin Hopkins\HopkDu00",57,"N","N",36.9,"81.0%"
"20",20,"@","Steven Hauschka\HausSt00",31,"Y","N",34.14,"89.2%"
"21",21,"","Caleb Sturgis\SturCa00",22,"Y","N",37.63,"85.4%"
"22",22,"@","Jason Myers\MyerJa00",47,"Y","N",42.82,"79.4%"
"23",23,"","Nick Folk\FolkNi20",36,"Y","N",33.97,"87.1%"
"24",24,"@","Mason Crosby\CrosMa20",53,"Y","N",35.4,"86.7%"
"25",25,"@","Cody Parkey\ParkCo03",49,"N","N",37.6,"80.0%"
"26",26,"","Roberto Aguayo\AguaRo00",33,"Y","N",36.68,"71.0%"
"27",27,"@","Cairo Santos\SantCa01",25,"Y","N",35.63,"88.6%"
"28",28,"","Josh Lambo\LambJo00",35,"Y","N",36.38,"81.3%"
"29",29,"","Brandon McManus\McMaBr01",22,"Y","N",37.88,"85.3%"
"30",30,"","Matt Bryant\bryanmat01",22,"Y","N",37.3,"91.9%"
"31",31,"","Randy Bullock\BullRa00",23,"Y","N",32.67,"88.9%"
"32",32,"@","Graham Gano\GanoGr44",58,"N","N",40.61,"78.9%"
"33",33,"@","Stephen Gostkowski\GostSt20",40,"Y","N",37.16,"84.4%"
"34",34,"@","Steven Hauschka\HausSt00",33,"Y","N",34.14,"89.2%"
"35",35,"","Caleb Sturgis\SturCa00",33,"Y","N",37.63,"85.4%"
"36",36,"@","Robbie Gould\gouldrob01",40,"Y","N",36.3,"100.0%"
"37",37,"@","Chandler Catanzaro\CataCh00",32,"Y","N",39.07,"75.0%"
"38",38,"","Kai Forbath\ForbKa00",21,"Y","N",34.33,"100.0%"
